"neighborhood","mean_count","var_count","dispersion"
"Dorchester",103.671076642336,1606.50015803703,15.496126885799
"Allston / Brighton",59.3115875912409,861.906976574705,14.5318480178735
"South Boston",68.3859489051095,896.18050535202,13.104746219074
"East Boston",49.5241788321168,589.092979699632,11.8950580018018
"Roxbury",64.9365875912409,709.346501905604,10.923679981011
"Mission Hill",13.4167429094236,131.125559363623,9.77327807865525
"Hyde Park",29.5216795983569,288.056036629715,9.75744065204703
"Mattapan",30.5839416058394,264.32156766067,8.64249517172118
"Downtown / Financial District",41.0679744525547,312.597385580361,7.61170692607448
"Jamaica Plain",42.2819343065693,314.351330259489,7.43464875519302
"Charlestown",25.2418986764035,172.206298493838,6.82224030376999
"Beacon Hill",22.02100456621,145.002756413868,6.5847475748843
"South End",49.6989051094891,323.612632301352,6.51146401693193
"West Roxbury",24.0100364963504,153.979817068498,6.41314381558329
"Back Bay",36.0702554744526,209.191775744836,5.79956457178409
"Roslindale",25.5734489051095,137.449646155307,5.37470118580075
"Fenway / Kenmore / Audubon Circle / Longwood",14.2529680365297,62.085818048316,4.3559922318771
